nome,email,data_nascimento,telefone,cidade,uf
Beatriz Almeida,beatriz.almeida@gmail.com,09/05/1996,(62) 99111-2233,Anápolis,GO
  Rodrigo Teixeira ,rodrigo.teixeira@outlook.com,1992-12-01,(62) 98456-7788,Goiânia,go
Vinicius Barros,vinicius.barros@yahoo.com,11-08-1994,(62) 99345-6612,Anápolis,GO
Larissa Duarte,larissa.duarte@gmail.com,17/01/2000,(11) 93456-7890,São Paulo,SP
Eduardo Ramos,eduardo.ramos@ hotmail.com,25/06/1987,(62) 99887-6655,Anápolis,GO
  vinicius barros,vinicius.barros@yahoo.com,11/08/1994,(62) 99345-6612,Anápolis,go
Patricia Gomes,patricia.gomesyahoo.com,14/02/1991,(64) 99123-4400,Rio Verde,GO
Gustavo Freitas,gustavo.freitas@gmail.com,1998-09-09,(62) 99765-1122,Anápolis,GO
,helena.moraes@gmail.com,30/03/1995,(62) 99654-7788,Goiânia,GO
Felipe Cardoso,felipe.cardoso@gmail.com,29/02/1985,(62) 99123-5566,Anápolis,GO
Isabela Martins,isabela.martins@gmail.com,05/05/1993,,Anápolis,GO
Diego Souza,diego.souza@@gmail.com,19/07/1990,(62) 98888-3344,Anápolis,GO
Renata Pires,renata.pires@gmail.com,1996-11-23,(62) 99222-5566,Anápolis,GO
Marcelo Vieira,marcelo.vieira@gmail.com,03/04/1989,(62) 99777-2233,Anápolis,GO
Renata Pires,renata.pires@gmail.com,23/11/1996,(62) 99222-5566,anápolis,GO
